Kode Kecamatan,Kecamatan,Kode Kelurahan,Kelurahan,Belum/Tidak Bekerja,Aparatur Pejabat Negara,Tenaga Pengajar,Wiraswasta,Pertanian dan Peternakan,Nelayan,Agama dan Kepercayaan,Pelajar dan Mahasiswa,Tenaga Kesehatan,Pensiunan,Pekerjaan Lainnya,,,,,
32.73.01,Sukasari,32.73.01.1001,Sukarasa,2491,283,103,4395,3,0,5,2889,80,149,3043,,,,,
32.73.01,Sukasari,32.73.01.1002,Gegerkalong,4168,1103,314,7223,13,1,3,5205,136,482,4701,,,,,
32.73.01,Sukasari,32.73.01.1003,Isola,2592,485,247,4164,25,0,3,2940,46,180,2829,,,,,
32.73.01,Sukasari,32.73.01.1004,Sarijadi,4902,1307,425,8437,15,0,14,6071,163,841,5089,,,,,
32.73.02,Coblong,32.73.02.1001,Cipaganti,2009,261,69,4144,2,2,1,2594,50,134,2428,,,,,
32.73.02,Coblong,32.73.02.1002,Lebak Gede,1883,237,122,3913,2,0,3,2437,53,209,2202,,,,,
32.73.02,Coblong,32.73.02.1003,Sadang Serang,4867,795,242,8973,3,1,2,5908,57,494,5310,,,,,
32.73.02,Coblong,32.73.02.1004,Dago,6543,977,396,11329,8,1,3,7641,108,553,7328,,,,,
32.73.02,Coblong,32.73.02.1005,Sekeloa,5045,749,266,8971,3,1,3,5782,86,529,5555,,,,,
32.73.02,Coblong,32.73.02.1006,Lebak Siliwangi,745,78,28,1345,1,0,2,840,10,48,888,,,,,
32.73.03,Babakan Ciparay,32.73.03.1001,Babakan Ciparay,6694,325,138,10993,7,0,15,7123,48,110,8445,,,,,
32.73.03,Babakan Ciparay,32.73.03.1002,Babakan,6437,202,125,10053,4,0,14,6452,43,102,7791,,,,,
32.73.03,Babakan Ciparay,32.73.03.1003,Sukahaji,6164,181,132,10282,8,0,10,6405,46,83,7876,,,,,
32.73.03,Babakan Ciparay,32.73.03.1004,Margahayu Utara,4476,461,154,7308,5,0,6,4947,57,328,5376,,,,,
32.73.03,Babakan Ciparay,32.73.03.1005,Margasuka,2542,104,45,4087,2,0,3,2522,15,49,3075,,,,,
32.73.03,Babakan Ciparay,32.73.03.1006,Cirangrang,2411,113,58,3906,3,0,2,2225,39,84,2936,,,,,
32.73.04,Bojongloa Kaler,32.73.04.1001,Kopo,6474,438,206,10081,13,1,4,6605,58,228,7265,,,,,
32.73.04,Bojongloa Kaler,32.73.04.1002,Babakan Tarogong,5992,293,131,9660,9,0,10,5781,41,92,6927,,,,,
32.73.04,Bojongloa Kaler,32.73.04.1003,Jamika,5600,180,154,9374,8,1,16,5765,32,103,6686,,,,,
32.73.04,Bojongloa Kaler,32.73.04.1004,Babakan Asih,3320,180,108,5400,7,0,3,3375,42,99,3841,,,,,
32.73.04,Bojongloa Kaler,32.73.04.1005,Suka Asih,3989,223,152,6414,6,0,10,4198,47,101,4579,,,,,
32.73.05,Andir,32.73.05.1001,Maleber,3696,303,160,7064,4,0,8,4185,58,147,4306,,,,,
32.73.05,Andir,32.73.05.1002,Dungus Cariang,3605,241,144,6550,2,0,3,3912,39,122,4193,,,,,
32.73.05,Andir,32.73.05.1003,Ciroyom,4064,135,105,6630,3,0,6,4247,17,59,4619,,,,,
32.73.05,Andir,32.73.05.1004,Kebon Jeruk,1866,104,62,4271,0,0,19,2365,25,38,2677,,,,,
32.73.05,Andir,32.73.05.1005,Garuda,1930,282,91,3530,5,0,2,2230,31,151,2312,,,,,
32.73.05,Andir,32.73.05.1006,Campaka,3455,482,163,5962,4,0,13,4134,50,191,4046,,,,,
32.73.06,Cicendo,32.73.06.1001,Husein Sastranegara,3181,609,101,5251,1,0,6,3529,44,128,3726,,,,,
32.73.06,Cicendo,32.73.06.1002,Arjuna,2285,252,122,4591,1,0,10,2594,50,167,2915,,,,,
32.73.06,Cicendo,32.73.06.1003,Pajajaran,4855,671,172,8474,1,0,23,5639,103,252,5914,,,,,
32.73.06,Cicendo,32.73.06.1004,Pasirkaliki,1513,224,94,3276,0,0,14,1872,46,113,1996,,,,,
32.73.06,Cicendo,32.73.06.1005,Pamoyanan,1347,146,92,2836,0,0,15,1522,44,129,1672,,,,,
32.73.06,Cicendo,32.73.06.1006,Sukaraja,4425,891,191,7636,5,0,12,5275,126,303,4896,,,,,
32.73.07,Sukajadi,32.73.07.1001,Pasteur,3415,622,171,5833,7,0,11,4059,116,338,3791,,,,,
32.73.07,Sukajadi,32.73.07.1002,Cipedes,5779,646,213,9787,9,0,9,6556,71,358,6671,,,,,
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,2832,353,177,4534,6,1,8,2954,109,275,3126,,,,,
32.73.07,Sukajadi,32.73.07.1004,Sukagalih,3405,340,135,6090,6,0,12,4006,155,219,4297,,,,,
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,4096,595,185,6853,12,0,11,4655,86,356,4714,,,,,
32.73.08,Cidadap,32.73.08.1001,Hegarmanah,3636,665,167,6559,5,0,2,4231,89,240,4572,,,,,
32.73.08,Cidadap,32.73.08.1002,Ciumbuleuit,4823,425,189,7631,12,0,24,4666,76,256,5620,,,,,
32.73.08,Cidadap,32.73.08.1003,Ledeng,2053,347,185,3394,7,0,4,2294,33,138,2336,,,,,
32.73.09,Bandung Wetan,32.73.09.1001,Cihapit,571,184,68,1321,1,0,35,885,96,160,737,,,,,
32.73.09,Bandung Wetan,32.73.09.1002,Taman Sari,4087,478,220,7627,7,0,9,4860,86,318,4847,,,,,
32.73.09,Bandung Wetan,32.73.09.1003,Citarum,263,94,45,799,0,0,15,515,53,51,415,,,,,
32.73.10,Astanaanyar,32.73.10.1001,Karasak,2553,254,110,4536,1,0,2,2803,20,156,3057,,,,,
32.73.10,Astanaanyar,32.73.10.1002,Nyengseret,2303,123,54,4177,2,0,3,2466,19,63,2861,,,,,
